year_month,nifty,tatasteel,date
2012-05,4924.25,26.631481170654297,2012-05-01
2012-06,5278.89990234375,29.125396728515625,2012-06-01
2012-07,5229.0,28.13852882385254,2012-07-01
2012-08,5258.5,24.536771774291992,2012-08-01
2012-09,5703.2998046875,27.218563079833984,2012-09-01
2012-10,5619.7001953125,26.627893447875977,2012-10-01
2012-11,5879.85009765625,26.22053337097168,2012-11-01
2012-12,5905.10009765625,29.092430114746094,2012-12-01
2013-01,6034.75,27.490144729614258,2013-01-01
2013-02,5693.0498046875,23.185684204101562,2013-02-01
2013-03,5682.5498046875,21.24053192138672,2013-03-01
2013-04,5930.2001953125,20.5548038482666,2013-04-01
2013-05,5985.9501953125,19.807973861694336,2013-05-01
2013-06,5842.2001953125,18.58588981628418,2013-06-01
2013-07,5742.0,15.10473346710205,2013-07-01
2013-08,5471.7998046875,19.18728256225586,2013-08-01
2013-09,5735.2998046875,19.01572036743164,2013-09-01
2013-10,6299.14990234375,23.451904296875,2013-10-01
2013-11,6176.10009765625,28.052648544311523,2013-11-01
2013-12,6304.0,29.705276489257812,2013-12-01
2014-01,6089.5,24.932964324951172,2014-01-01
2014-02,6276.9501953125,24.075136184692383,2014-02-01
2014-03,6704.2001953125,27.58696746826172,2014-03-01
2014-04,6696.39990234375,28.05615234375,2014-04-01
2014-05,7229.9501953125,33.269622802734375,2014-05-01
2014-06,7611.35009765625,37.002044677734375,2014-06-01
2014-07,7721.2998046875,39.54051971435547,2014-07-01
2014-08,7954.35009765625,36.6646614074707,2014-08-01
2014-09,7964.7998046875,32.79920196533203,2014-09-01
2014-10,8322.2001953125,35.01058578491211,2014-10-01
2014-11,8588.25,33.82094192504883,2014-11-01
2014-12,8282.7001953125,28.537200927734375,2014-12-01
2015-01,8808.900390625,27.89771842956543,2015-01-01
2015-02,8844.599609375,25.05400276184082,2015-02-01
2015-03,8491.0,22.6318416595459,2015-03-01
2015-04,8181.5,25.747066497802734,2015-04-01
2015-05,8433.650390625,23.47138023376465,2015-05-01
2015-06,8368.5,21.763723373413086,2015-06-01
2015-07,8532.849609375,18.159141540527344,2015-07-01
2015-08,7971.2998046875,16.577850341796875,2015-08-01
2015-09,7948.89990234375,15.636423110961914,2015-09-01
2015-10,8065.7998046875,18.13707733154297,2015-10-01
2015-11,7935.25,16.842618942260742,2015-11-01
2015-12,7946.35009765625,19.107913970947266,2015-12-01
2016-01,7563.5498046875,18.365074157714844,2016-01-01
2016-02,6987.0498046875,18.320947647094727,2016-02-01
2016-03,7738.39990234375,23.51347541809082,2016-03-01
2016-04,7849.7998046875,25.822898864746094,2016-04-01
2016-05,8160.10009765625,24.590961456298828,2016-05-01
2016-06,8287.75,23.678958892822266,2016-06-01
2016-07,8638.5,26.701807022094727,2016-07-01
2016-08,8786.2001953125,27.833654403686523,2016-08-01
2016-09,8611.150390625,28.14575958251953,2016-09-01
2016-10,8638.0,30.492177963256836,2016-10-01
2016-11,8224.5,31.214155197143555,2016-11-01
2016-12,8185.7998046875,29.42425537109375,2016-12-01
2017-01,8561.2998046875,34.82402801513672,2017-01-01
2017-02,8879.599609375,36.30181884765625,2017-02-01
2017-03,9173.75,36.30181884765625,2017-03-01
2017-04,9304.0498046875,33.78618621826172,2017-04-01
2017-05,9621.25,37.95634841918945,2017-05-01
2017-06,9520.900390625,41.043540954589844,2017-06-01
2017-07,10077.099609375,43.40915298461914,2017-07-01
2017-08,9917.900390625,48.840084075927734,2017-08-01
2017-09,9788.599609375,49.94999694824219,2017-09-01
