year_month,nifty,reliance,date
2023-07,19753.80078125,1260.8065185546875,2023-07-01
2023-08,19253.80078125,1194.6578369140625,2023-08-01
2023-09,19638.30078125,1163.8856201171875,2023-09-01
2023-10,19079.599609375,1135.5452880859375,2023-10-01
2023-11,20133.150390625,1179.9913330078125,2023-11-01
2023-12,21731.400390625,1282.97900390625,2023-12-01
2024-01,21725.69921875,1416.1435546875,2024-01-01
2024-02,21982.80078125,1450.0675048828125,2024-02-01
2024-03,22326.900390625,1474.933349609375,2024-03-01
2024-04,22604.849609375,1456.2218017578125,2024-04-01
2024-05,22530.69921875,1419.8907470703125,2024-05-01
2024-06,24010.599609375,1553.89892578125,2024-06-01
2024-07,24951.150390625,1494.364501953125,2024-07-01
2024-08,25235.900390625,1503.6197509765625,2024-08-01
2024-09,25810.849609375,1470.701171875,2024-09-01
2024-10,24205.349609375,1326.7510986328125,2024-10-01
2024-11,24131.099609375,1287.0595703125,2024-11-01
2024-12,23644.80078125,1210.6148681640625,2024-12-01
2025-01,23508.400390625,1260.0673828125,2025-01-01
2025-02,22124.69921875,1195.325927734375,2025-02-01
2025-03,23519.349609375,1270.027587890625,2025-03-01
2025-04,24334.19921875,1399.410888671875,2025-04-01
2025-05,24750.69921875,1415.2476806640625,2025-05-01
2025-06,25517.05078125,1494.630615234375,2025-06-01
2025-07,24768.349609375,1384.669677734375,2025-07-01
2025-08,24426.849609375,1357.199951171875,2025-08-01
2025-09,24611.099609375,1364.0,2025-09-01
2025-10,25722.099609375,1486.4000244140625,2025-10-01
2025-11,26202.94921875,1567.5,2025-11-01
2025-12,26129.599609375,1570.4000244140625,2025-12-01
2026-01,25320.650390625,1395.4000244140625,2026-01-01
2026-02,25534.80078125,1423.199951171875,2026-02-01
