year_month,nifty,hdfcbank,date
2007-09,5021.35009765625,62.3226203918457,2007-09-01
2007-10,5900.64990234375,71.77778625488281,2007-10-01
2007-11,5762.75,74.5019302368164,2007-11-01
2007-12,6138.60009765625,75.0641098022461,2007-12-01
2008-01,5137.4501953125,68.1376724243164,2008-01-01
2008-02,5223.5,63.24076843261719,2008-02-01
2008-03,4734.5,57.79255676269531,2008-03-01
2008-04,5165.89990234375,66.53804016113281,2008-04-01
2008-05,4870.10009765625,59.751731872558594,2008-05-01
2008-06,4040.550048828125,43.978885650634766,2008-06-01
2008-07,4332.9501953125,47.94064712524414,2008-07-01
2008-08,4360.0,55.73540115356445,2008-08-01
2008-09,3921.199951171875,53.6835823059082,2008-09-01
2008-10,2885.60009765625,44.6424560546875,2008-10-01
2008-11,2755.10009765625,40.28342819213867,2008-11-01
2008-12,2959.14990234375,43.583805084228516,2008-12-01
2009-01,2874.800048828125,40.407840728759766,2009-01-01
2009-02,2763.64990234375,38.83186340332031,2009-02-01
2009-03,3020.949951171875,42.49458694458008,2009-03-01
2009-04,3473.949951171875,48.03669357299805,2009-04-01
2009-05,4448.9501953125,63.060848236083984,2009-05-01
2009-06,4291.10009765625,65.6055679321289,2009-06-01
2009-07,4636.4501953125,65.86699676513672,2009-07-01
2009-08,4662.10009765625,64.63235473632812,2009-08-01
2009-09,5083.9501953125,72.51918029785156,2009-09-01
2009-10,4711.7001953125,71.20983123779297,2009-10-01
2009-11,5032.7001953125,77.60494995117188,2009-11-01
2009-12,5201.0498046875,74.79293060302734,2009-12-01
2010-01,4882.0498046875,71.66456604003906,2010-01-01
2010-02,4922.2998046875,74.90498352050781,2010-02-01
2010-03,5249.10009765625,84.95354461669922,2010-03-01
2010-04,5278.0,87.89514923095703,2010-04-01
2010-05,5086.2998046875,82.97415924072266,2010-05-01
2010-06,5312.5,84.85780334472656,2010-06-01
2010-07,5367.60009765625,94.05111694335938,2010-07-01
2010-08,5402.39990234375,94.37612915039062,2010-08-01
2010-09,6029.9501953125,110.07859802246094,2010-09-01
2010-10,6017.7001953125,100.81676483154297,2010-10-01
2010-11,5862.7001953125,101.05995178222656,2010-11-01
2010-12,6134.5,103.75518035888672,2010-12-01
2011-01,5505.89990234375,90.53121948242188,2011-01-01
2011-02,5333.25,90.75011444091797,2011-02-01
2011-03,5833.75,103.73304748535156,2011-03-01
2011-04,5749.5,101.50878143310547,2011-04-01
2011-05,5473.10009765625,106.1076431274414,2011-05-01
2011-06,5647.39990234375,112.00776672363281,2011-06-01
2011-07,5482.0,108.37667846679688,2011-07-01
2011-08,5001.0,105.07060241699219,2011-08-01
2011-09,4943.25,104.11329650878906,2011-09-01
2011-10,5326.60009765625,109.08909606933594,2011-10-01
2011-11,4832.0498046875,98.51411437988281,2011-11-01
2011-12,4624.2998046875,95.02996063232422,2011-12-01
2012-01,5199.25,109.55660247802734,2012-01-01
2012-02,5385.2001953125,115.12238311767578,2012-02-01
2012-03,5295.5498046875,115.73462677001953,2012-03-01
2012-04,5248.14990234375,120.7771987915039,2012-04-01
2012-05,4924.25,112.69570922851562,2012-05-01
2012-06,5278.89990234375,126.45403289794922,2012-06-01
2012-07,5229.0,131.88424682617188,2012-07-01
2012-08,5258.5,133.58956909179688,2012-08-01
2012-09,5703.2998046875,141.1739044189453,2012-09-01
2012-10,5619.7001953125,142.3070831298828,2012-10-01
2012-11,5879.85009765625,157.95816040039062,2012-11-01
2012-12,5905.10009765625,152.2698974609375,2012-12-01
2013-01,6034.75,144.2928924560547,2013-01-01
2013-02,5693.0498046875,140.32122802734375,2013-02-01
2013-03,5682.5498046875,140.32122802734375,2013-03-01
2013-04,5930.2001953125,153.1001434326172,2013-04-01
2013-05,5985.9501953125,157.18399047851562,2013-05-01
2013-06,5842.2001953125,151.48280334472656,2013-06-01
2013-07,5742.0,137.963623046875,2013-07-01
2013-08,5471.7998046875,134.3999786376953,2013-08-01
2013-09,5735.2998046875,134.18504333496094,2013-09-01
2013-10,6299.14990234375,154.03958129882812,2013-10-01
2013-11,6176.10009765625,149.62747192382812,2013-11-01
2013-12,6304.0,150.65695190429688,2013-12-01
2014-01,6089.5,142.20602416992188,2014-01-01
2014-02,6276.9501953125,151.50540161132812,2014-02-01
2014-03,6704.2001953125,169.42543029785156,2014-03-01
2014-04,6696.39990234375,163.20323181152344,2014-04-01
2014-05,7229.9501953125,179.36965942382812,2014-05-01
2014-06,7611.35009765625,187.4583282470703,2014-06-01
2014-07,7721.2998046875,190.2991180419922,2014-07-01
2014-08,7954.35009765625,192.47821044921875,2014-08-01
2014-09,7964.7998046875,199.11813354492188,2014-09-01
2014-10,8322.2001953125,208.06265258789062,2014-10-01
2014-11,8588.25,218.3990478515625,2014-11-01
2014-12,8282.7001953125,217.13267517089844,2014-12-01
2015-01,8808.900390625,245.8258514404297,2015-01-01
2015-02,8844.599609375,240.4979248046875,2015-02-01
2015-03,8491.0,233.3560028076172,2015-03-01
2015-04,8181.5,225.62081909179688,2015-04-01
2015-05,8433.650390625,239.71078491210938,2015-05-01
2015-06,8368.5,243.49847412109375,2015-06-01
2015-07,8532.849609375,255.558837890625,2015-07-01
2015-08,7971.2998046875,236.20199584960938,2015-08-01
2015-09,7948.89990234375,245.70802307128906,2015-09-01
2015-10,8065.7998046875,252.7886505126953,2015-10-01
2015-11,7935.25,247.76551818847656,2015-11-01
2015-12,7946.35009765625,248.7770538330078,2015-12-01
2016-01,7563.5498046875,241.35154724121094,2016-01-01
2016-02,6987.0498046875,223.4199981689453,2016-02-01
2016-03,7738.39990234375,246.2482452392578,2016-03-01
2016-04,7849.7998046875,260.31756591796875,2016-04-01
2016-05,8160.10009765625,271.7087097167969,2016-05-01
2016-06,8287.75,272.6755676269531,2016-06-01
2016-07,8638.5,288.8421630859375,2016-07-01
2016-08,8786.2001953125,299.27215576171875,2016-08-01
2016-09,8611.150390625,295.01904296875,2016-09-01
2016-10,8638.0,291.8205261230469,2016-10-01
2016-11,8224.5,278.0412902832031,2016-11-01
2016-12,8185.7998046875,279.5710144042969,2016-12-01
2017-01,8561.2998046875,298.2175598144531,2017-01-01
2017-02,8879.599609375,322.19500732421875,2017-02-01
2017-03,9173.75,334.3518371582031,2017-03-01
2017-04,9304.0498046875,358.4451599121094,2017-04-01
2017-05,9621.25,379.23565673828125,2017-05-01
2017-06,9520.900390625,385.4537048339844,2017-06-01
2017-07,10077.099609375,416.3333740234375,2017-07-01
2017-08,9917.900390625,414.478515625,2017-08-01
2017-09,9788.599609375,421.3030700683594,2017-09-01
2017-10,10335.2998046875,421.9563903808594,2017-10-01
2017-11,10226.5498046875,432.50238037109375,2017-11-01
2017-12,10530.7001953125,436.86541748046875,2017-12-01
2018-01,11027.7001953125,467.9667663574219,2018-01-01
2018-02,10492.849609375,439.61859130859375,2018-02-01
2018-03,10113.7001953125,440.0618591308594,2018-03-01
2018-04,10739.349609375,453.6410217285156,2018-04-01
2018-05,10736.150390625,502.36138916015625,2018-05-01
2018-06,10714.2998046875,495.0823059082031,2018-06-01
2018-07,11356.5,511.7655029296875,2018-07-01
2018-08,11680.5,483.98760986328125,2018-08-01
2018-09,10930.4501953125,471.0379333496094,2018-09-01
2018-10,10386.599609375,448.89544677734375,2018-10-01
2018-11,10876.75,499.77850341796875,2018-11-01
2018-12,10862.5498046875,498.1935119628906,2018-12-01
2019-01,10830.9501953125,488.3902282714844,2019-01-01
2019-02,10792.5,487.8267822265625,2019-02-01
2019-03,11570.0,540.7174072265625,2019-03-01
2019-04,11748.150390625,544.1573486328125,2019-04-01
2019-05,11922.7998046875,569.4932250976562,2019-05-01
2019-06,11788.849609375,577.380126953125,2019-06-01
2019-07,11118.0,531.9929809570312,2019-07-01
2019-08,11023.25,527.56494140625,2019-08-01
2019-09,11474.4501953125,581.3053588867188,2019-09-01
2019-10,11877.4501953125,582.6787719726562,2019-10-01
2019-11,12056.0498046875,603.8007202148438,2019-11-01
