year_month,nifty,infy,date
2007-09,5021.35009765625,154.99794006347656,2007-09-01
2007-10,5900.64990234375,150.94851684570312,2007-10-01
2007-11,5762.75,131.6471405029297,2007-11-01
2007-12,6138.60009765625,145.39923095703125,2007-12-01
2008-01,5137.4501953125,123.14863586425781,2008-01-01
2008-02,5223.5,127.18635559082031,2008-02-01
2008-03,4734.5,118.28935241699219,2008-03-01
2008-04,5165.89990234375,144.01907348632812,2008-04-01
2008-05,4870.10009765625,163.5780029296875,2008-05-01
2008-06,4040.550048828125,144.74334716796875,2008-06-01
2008-07,4332.9501953125,131.96328735351562,2008-07-01
2008-08,4360.0,145.7684326171875,2008-08-01
2008-09,3921.199951171875,116.51225280761719,2008-09-01
2008-10,2885.60009765625,116.6272201538086,2008-10-01
2008-11,2755.10009765625,104.4434585571289,2008-11-01
2008-12,2959.14990234375,93.66199493408203,2008-12-01
2009-01,2874.800048828125,109.71664428710938,2009-01-01
2009-02,2763.64990234375,103.38544464111328,2009-02-01
2009-03,3020.949951171875,111.1650619506836,2009-03-01
2009-04,3473.949951171875,126.72856903076172,2009-04-01
2009-05,4448.9501953125,134.77688598632812,2009-05-01
2009-06,4291.10009765625,150.40591430664062,2009-06-01
2009-07,4636.4501953125,174.77650451660156,2009-07-01
2009-08,4662.10009765625,180.4320831298828,2009-08-01
2009-09,5083.9501953125,195.26947021484375,2009-09-01
2009-10,4711.7001953125,187.61776733398438,2009-10-01
2009-11,5032.7001953125,202.3427276611328,2009-11-01
2009-12,5201.0498046875,221.20057678222656,2009-12-01
2010-01,4882.0498046875,210.5194549560547,2010-01-01
2010-02,4922.2998046875,221.2728729248047,2010-02-01
2010-03,5249.10009765625,222.46340942382812,2010-03-01
2010-04,5278.0,232.85549926757812,2010-04-01
2010-05,5086.2998046875,227.38577270507812,2010-05-01
2010-06,5312.5,238.76358032226562,2010-06-01
2010-07,5367.60009765625,238.5411376953125,2010-07-01
2010-08,5402.39990234375,232.16360473632812,2010-08-01
2010-09,6029.9501953125,260.9632263183594,2010-09-01
2010-10,6017.7001953125,257.6360168457031,2010-10-01
2010-11,5862.7001953125,264.510986328125,2010-11-01
2010-12,6134.5,298.4743957519531,2010-12-01
2011-01,5505.89990234375,270.2936706542969,2011-01-01
2011-02,5333.25,259.83807373046875,2011-02-01
2011-03,5833.75,281.0093994140625,2011-03-01
2011-04,5749.5,251.96173095703125,2011-04-01
2011-05,5473.10009765625,243.2506866455078,2011-05-01
2011-06,5647.39990234375,254.1486358642578,2011-06-01
2011-07,5482.0,242.39930725097656,2011-07-01
2011-08,5001.0,204.59291076660156,2011-08-01
2011-09,4943.25,221.1929931640625,2011-09-01
2011-10,5326.60009765625,252.66513061523438,2011-10-01
2011-11,4832.0498046875,228.8961181640625,2011-11-01
2011-12,4624.2998046875,243.01524353027344,2011-12-01
2012-01,5199.25,241.1142578125,2012-01-01
2012-02,5385.2001953125,253.18316650390625,2012-02-01
2012-03,5295.5498046875,251.67733764648438,2012-03-01
2012-04,5248.14990234375,216.18626403808594,2012-04-01
2012-05,4924.25,216.2576446533203,2012-05-01
2012-06,5278.89990234375,223.3657989501953,2012-06-01
2012-07,5229.0,198.24026489257812,2012-07-01
2012-08,5258.5,210.2310791015625,2012-08-01
2012-09,5703.2998046875,225.65797424316406,2012-09-01
2012-10,5619.7001953125,211.69097900390625,2012-10-01
2012-11,5879.85009765625,218.30694580078125,2012-11-01
2012-12,5905.10009765625,207.72238159179688,2012-12-01
2013-01,6034.75,249.89926147460938,2013-01-01
2013-02,5693.0498046875,260.42559814453125,2013-02-01
2013-03,5682.5498046875,258.84442138671875,2013-03-01
2013-04,5930.2001953125,200.26431274414062,2013-04-01
2013-05,5985.9501953125,218.56240844726562,2013-05-01
2013-06,5842.2001953125,226.46044921875,2013-06-01
2013-07,5742.0,269.1271057128906,2013-07-01
2013-08,5471.7998046875,281.4703063964844,2013-08-01
2013-09,5735.2998046875,273.0557556152344,2013-09-01
2013-10,6299.14990234375,301.7615051269531,2013-10-01
2013-11,6176.10009765625,305.8322448730469,2013-11-01
2013-12,6304.0,317.7844543457031,2013-12-01
2014-01,6089.5,337.4270324707031,2014-01-01
2014-02,6276.9501953125,348.70916748046875,2014-02-01
2014-03,6704.2001953125,299.2908630371094,2014-03-01
2014-04,6696.39990234375,289.9916076660156,2014-04-01
2014-05,7229.9501953125,271.66455078125,2014-05-01
2014-06,7611.35009765625,300.8835754394531,2014-06-01
2014-07,7721.2998046875,311.2441101074219,2014-07-01
2014-08,7954.35009765625,332.6073913574219,2014-08-01
2014-09,7964.7998046875,346.3736267089844,2014-09-01
2014-10,8322.2001953125,377.3124694824219,2014-10-01
2014-11,8588.25,406.0538635253906,2014-11-01
2014-12,8282.7001953125,367.4261169433594,2014-12-01
2015-01,8808.900390625,398.970947265625,2015-01-01
2015-02,8844.599609375,422.04046630859375,2015-02-01
2015-03,8491.0,413.21124267578125,2015-03-01
2015-04,8181.5,361.7822570800781,2015-04-01
2015-05,8433.650390625,376.8514709472656,2015-05-01
2015-06,8368.5,372.2693786621094,2015-06-01
2015-07,8532.849609375,407.3274841308594,2015-07-01
2015-08,7971.2998046875,413.8890380859375,2015-08-01
2015-09,7948.89990234375,439.4356384277344,2015-09-01
2015-10,8065.7998046875,433.36285400390625,2015-10-01
2015-11,7935.25,415.2146301269531,2015-11-01
2015-12,7946.35009765625,421.8936767578125,2015-12-01
2016-01,7563.5498046875,444.6029357910156,2016-01-01
2016-02,6987.0498046875,413.74517822265625,2016-02-01
2016-03,7738.39990234375,464.9837646484375,2016-03-01
2016-04,7849.7998046875,461.0908203125,2016-04-01
2016-05,8160.10009765625,476.5673522949219,2016-05-01
2016-06,8287.75,452.0577087402344,2016-06-01
2016-07,8638.5,414.6243591308594,2016-07-01
2016-08,8786.2001953125,399.9521484375,2016-08-01
2016-09,8611.150390625,400.0293273925781,2016-09-01
2016-10,8638.0,389.2754211425781,2016-10-01
2016-11,8224.5,380.7093811035156,2016-11-01
2016-12,8185.7998046875,394.3876647949219,2016-12-01
2017-01,8561.2998046875,362.3871154785156,2017-01-01
2017-02,8879.599609375,395.0901794433594,2017-02-01
2017-03,9173.75,398.93414306640625,2017-03-01
2017-04,9304.0498046875,358.6212463378906,2017-04-01
2017-05,9621.25,381.2948303222656,2017-05-01
2017-06,9520.900390625,370.695556640625,2017-06-01
2017-07,10077.099609375,400.6706237792969,2017-07-01
2017-08,9917.900390625,362.533203125,2017-08-01
2017-09,9788.599609375,356.56988525390625,2017-09-01
2017-10,10335.2998046875,370.3670654296875,2017-10-01
2017-11,10226.5498046875,392.162841796875,2017-11-01
2017-12,10530.7001953125,418.6592712402344,2017-12-01
2018-01,11027.7001953125,462.1302185058594,2018-01-01
2018-02,10492.849609375,471.10968017578125,2018-02-01
2018-03,10113.7001953125,454.7176818847656,2018-03-01
